Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,UC Irvine,17,3,.850,24,10,.706,77.6,68.3,6.9,-0.9,Reg. Season Champion
2,UC San Diego,15,5,.750,21,12,.636,76.7,69.4,2.0,-2.8,
3,UC Davis,14,6,.700,20,13,.606,71.2,68.1,-1.3,-2.9,
4,Hawaii,11,9,.550,20,14,.588,72.3,68.7,-0.1,-2.6,
5,Long Beach State,10,10,.500,21,15,.583,77.4,76.0,-1.2,-1.2,NCAA Tournament; Conf. Tournament Champion
5,UC Riverside,10,10,.500,16,18,.471,70.7,72.0,-4.3,-1.2,
7,Cal State Northridge,9,11,.450,19,15,.559,75.0,73.6,-4.8,-4.1,
7,UC Santa Barbara,9,11,.450,16,15,.516,75.4,73.5,-3.2,-3.0,
9,Cal State Bakersfield,8,12,.400,13,19,.406,68.7,69.2,-5.4,-2.2,
10,Cal State Fullerton,7,13,.350,14,18,.438,67.9,69.1,-5.2,-1.2,
11,Cal Poly,0,20,.000,4,28,.125,63.7,74.1,-13.6,-2.3,
